trad_char,trad_freq,trad_stroke_count,trad_id,trad_unicode,simpl_char,simpl_stroke_count,english,simpl_freq,flags
吻,4244,7,A00530,543B,吻,7,"kiss",7395,[]
浴,4238,10,A02212,6D74,浴,10,"bath",4911,[]
敲,4235,14,A01736,6572,敲,14,"to hit",9978,[]
框,4235,10,A01913,6846,框,10,"frame",5853,[]
佑,4232,7,A00114,4F51,佑,7,"bless, protect",2589,[]
謹,4213,18,A03880,8B39,谨,13,"cautious",7960,['diff']
敘,4193,11,A01730,6558,叙,9,"account",11786,['diff']
賊,4188,13,A03950,8CCA,贼,10,"thief",7045,['diff']
罐,4182,24,A03201,7F50,罐,23,"jar",4169,[]
燦,4162,17,A02455,71E6,灿,7,"dazzling",3254,['diff']
攤,4156,22,A01710,6524,摊,13,"lay out",5798,['diff']
芭,4139,8,A03435,82AD,芭,7,"banana",1615,[]
翠,4129,14,A03240,7FE0,翠,14,"green",5661,[]
占,4124,5,A00446,5360,占,5,"foretell",49980,['many-to-one']
綿,4124,14,A03141,7DBF,绵,11,"cotton",5622,['diff']
謎,4124,17,A03871,8B0E,谜,11,"riddle",3828,['diff']
掩,4122,11,A01597,63A9,掩,11,"cover, ambush",13680,[]
秩,4115,10,A02924,79E9,秩,10,"order",9713,[]
賠,4107,15,A03961,8CE0,赔,12,"reimburse",9960,['diff']
煌,4107,13,A02428,714C,煌,13,"glorious",5002,[]
籤,4102,23,A03052,7C64,签,13,"short stick, lots",20057,"['diff', 'many-to-one']"
脅,4090,10,A03322,8105,胁,8,"threat",13948,['diff']
旨,4067,6,A01774,65E8,旨,6,"will, decree",10590,[]
拘,4064,8,A01547,62D8,拘,8,"custody",6224,[]
紐,4050,10,A03095,7D10,纽,7,"button",9466,['diff']
蠢,4049,21,A03691,8822,蠢,21,"stupid",5542,[]
詠,4036,12,A03803,8A60,咏,8,"sing",1067,['diff']
匙,4031,11,A00417,5319,匙,11,"spoon",3809,[]
攔,4012,20,A01706,6514,拦,8,"block",7091,['diff']
驟,4000,24,A04653,9A5F,骤,17,"sudden",6688,['diff']
膚,4000,15,A03364,819A,肤,8,"skin",9214,['diff']
嫁,3977,13,A00954,5AC1,嫁,13,"marry",6539,[]
廟,3963,15,A01228,5EDF,庙,8,"temple",8220,['diff']
孕,3953,5,A00986,5B55,孕,5,"pregnant",6256,[]
肝,3945,7,A03293,809D,肝,7,"liver",9551,[]
腸,3932,13,A03347,8178,肠,7,"intestines",7939,['diff']
罩,3932,13,A03206,7F69,罩,13,"cover",7309,[]
叛,3913,9,A00476,53DB,叛,9,"rebel",9361,[]
匪,3908,10,A00422,532A,匪,10,"bandit",5511,[]
倉,3902,10,A00199,5009,仓,4,"granary",8275,['diff']
卸,3897,8,A00455,5378,卸,9,"unload",3795,[]
袍,3895,10,A03721,888D,袍,10,"robe",4710,[]
